LOCATION,Country,VARIABLE,Variable,FREQUENCY,Frequency,TIME,Time,Value,Flag,Codes,Flags,,,,,
NZL,New,Zealand,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,1.313404498
NZL,New,Zealand,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,6.109689999
NZL,New,Zealand,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,10.92378883
NOR,Norway,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,5.070082307,,,,,,,,
NOR,Norway,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,13.43010523,,,,,,,,
NOR,Norway,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,3.867183402,
NOR,Norway,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,6.666243378,
NOR,Norway,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,11.08063187,
NOR,Norway,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,14.78081628,
POL,Poland,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,5.531813692,,,,,,,,
POL,Poland,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,15.17501967,,,,,,,,
POL,Poland,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,3.210857607,
POL,Poland,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,7.004664448,
POL,Poland,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,12.83944811,
POL,Poland,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,17.83053245,
PRT,Portugal,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,5.739183211,,,,,,,,
PRT,Portugal,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,19.99467876,,,,,,,,
PRT,Portugal,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,4.057900554,
PRT,Portugal,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,6.927733914,
PRT,Portugal,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,18.07767726,
PRT,Portugal,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,21.82334505,
SVK,Slovak,Republic,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,4.308491552,,,,,,,
SVK,Slovak,Republic,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,11.28699087,,,,,,,
SVK,Slovak,Republic,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,1.801320605
SVK,Slovak,Republic,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,8.264014452
SVK,Slovak,Republic,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,8.869611027
SVK,Slovak,Republic,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,13.04420951
ESP,Spain,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,5.131839588,,,,,,,,
ESP,Spain,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,20.43432971,,,,,,,,
ESP,Spain,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,3.971149643,
ESP,Spain,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,6.541677976,
ESP,Spain,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,16.86183927,
ESP,Spain,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,23.26239612,
SWE,Sweden,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,4.132767429,,,,,,,,
SWE,Sweden,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,12.26274663,,,,,,,,
SWE,Sweden,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,2.836794927,
SWE,Sweden,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,6.157712501,
SWE,Sweden,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,10.7659941,
SWE,Sweden,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,13.60892844,
CHE,Switzerland,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,5.186623036,,,,,,,,
CHE,Switzerland,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,11.59871797,,,,,,,,
CHE,Switzerland,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,3.640583825,
CHE,Switzerland,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,7.183669778,
CHE,Switzerland,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,9.685657283,
CHE,Switzerland,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,16.17997706,
TUR,Türkiye,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,5.143494981,,,,,,,,
TUR,Türkiye,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,23.97691336,,,,,,,,
TUR,Türkiye,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,3.785102625,
TUR,Türkiye,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,6.533263754,
TUR,Türkiye,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,17.42591915,
TUR,Türkiye,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,29.20490945,
GBR,United,Kingdom,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,3.566803634,,,,,,,
GBR,United,Kingdom,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,25.49986135,,,,,,,
GBR,United,Kingdom,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,2.487645725
GBR,United,Kingdom,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,5.382042845
GBR,United,Kingdom,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,22.31946983
GBR,United,Kingdom,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,28.11143579
USA,United,States,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,1.600239609,,,,,,,
USA,United,States,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,11.60101288,,,,,,,
USA,United,States,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,1.169991951
USA,United,States,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,2.059469027
USA,United,States,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,9.097682619
USA,United,States,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,14.63462461
ARG,Argentina,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,9.401438871,,,,,,,,
ARG,Argentina,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,25.91063425,,,,,,,,
ARG,Argentina,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,7.388151964,
ARG,Argentina,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,12.03726561,
ARG,Argentina,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,21.96409748,
ARG,Argentina,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,29.58377015,
BRA,Brazil,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,4.487928016,,,,,,,,
BRA,Brazil,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,18.23049184,,,,,,,,
BRA,Brazil,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,3.880744104,
BRA,Brazil,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,6.53035597,
BRA,Brazil,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,16.27879137,
